Port Name,Country,Region
Yokohama,Japan,Asia   
Shimizu,Japan,Asia  
Nagoya,Japan,Asia  
Kobe,Japan,Asia   
Busan,South Korea,Asia  
Kwangyang,South Korea,Asia  
Dalian,China,Asia  
Xingang,China,Asia  
Qingdao,China,Asia  
Liangyungang,China,Asia  
Shanghai,China,Asia  
Ningbo,China,Asia   
Fuzhou,China,Asia  
Taipei,Taiwan,Asia  
Xiamen,China,Asia  
Kaohsiung,Taiwan,Asia  
Shenzhen Yantian,China,Asia  
Hong Kong,China,Asia  
Shenzhen,Chiwan China,Asia  
Shenzhen Da Chan Bay,China,Asia   
Vung Tau,Vietnam,Asia  
Laem,Chabang Thailand,Asia  
Singapore,Singapore,Asia  
Tanjung	Pelepas,Malaysia,Asia  
Port Klang,Malaysia,Asia  
Colombo,Sri Lanka,Asia  
Jebel Ali,Dubai,Middle East  
Salalah,Oman,Middle East  
Jeddah,Saudi Arabia,Middle East  
Port Said,Egyp,Middle East
Damietta,Egypt,Middle East
Izmit,Turkey,Europe
Istanbul Ambarli,Turkey,Europe
Odessa,Ukraine,Europe
Ilyichevsk,Ukraine,Europe
Constantza,Romania,Europe
Piraeus,Greece,Europe
Rijeka,Croatia,Europe
Koper,Slovenia,Europe
Trieste,Italy,Europe
Gioia Tauro,Italy,Europe
Genoa,Italy,Europe
Fos,France,Europe
Barcelona,Spain,Europe
Valencia,Spain,Europe
Malaga,Spain,Europe
Algeciras,Spain,Europe
Tangiers,Marocco,Europe
Le Havre,France,Europe
Felixstowe,United Kingdom,Europe
Zeebrugge,Belgium,Europe
Antwerp,Belgium,Europe
Rotterdam,Netherlands,Europe
Bremerhaven,Germany,Europe
Hamburg,Germany,Europe
Gothenburg,Sweden,Europe
Aarhus,Denmark,Europe
Gdansk,Poland,Europe